Date,Coal - Industrial Fines,Gas Oil,Heavy Fuel Oil,Commercial Propane Cylinder,Bulk L.P.G. (3.1-40 tonnes),"Price Directives Gas: Band I2: >=1000 <10,000 GJ per annum",Price Directives Electricity : Band IC: >=500 < 2000 MWh per annum,Wood - Pellets bulk delivery
01-Jan-93,0.007029075,0.029383886,0.019213974,0,0.038081805,0,0,0
01-Apr-93,0.007029075,0.030331754,0.019213974,0,0.038081805,0,0,0
01-Jul-93,0.007029075,0.030331754,0.019213974,0,0.038081805,0,0,0
01-Oct-93,0.007029075,0.030331754,0.018340611,0,0.035260931,0,0,0
01-Jan-94,0.007029075,0.030331754,0.019213974,0,0.033850494,0,0,0
01-Apr-94,0.007029075,0.028436019,0.020087336,0,0.033850494,0,0,0
01-Jul-94,0.007029075,0.028436019,0.020960699,0,0.033850494,0,0,0
01-Oct-94,0.007029075,0.028436019,0.020960699,0,0.033850494,0,0,0
01-Jan-95,0.007029075,0.027488152,0.022707424,0,0.033850494,0,0,0
01-Apr-95,0.007029075,0.027488152,0.022707424,0,0.033850494,0,0,0
01-Jul-95,0.007029075,0.029383886,0.022707424,0,0.033850494,0,0,0
01-Oct-95,0.007029075,0.029383886,0.020960699,0,0.033850494,0,0,0
01-Jan-96,0.007029075,0.031279621,0.020960699,0,0.033850494,0,0,0
01-Apr-96,0.007029075,0.031279621,0.021834061,0,0.033850494,0,0,0
01-Jun-97,0.007029075,0.030331754,0.021834061,0,0.038081805,0,0,0
01-Oct-97,0.007029075,0.028436019,0.020087336,0,0.038081805,0,0,0
02-Apr-98,0.007029075,0.029383886,0.020960699,0,0.038081805,0,0,0
01-Apr-99,0.007029075,0.028436019,0.020960699,0,0.032440056,0,0,0
01-Oct-99,0.007029075,0.030331754,0.022707424,0,0.033850494,0,0,0
01-Jun-00,0.007029075,0.039810427,0.027947598,0,0.035260931,0,0,0
01-Nov-00,0.007029075,0.047393365,0.028820961,0,0.05077574,0,0,0
01-Aug-01,0.007029075,0.04549763,0.030567686,0,0.053596615,0,0,0
01-Feb-02,0.007029075,0.037914692,0.028820961,0,0.045133992,0,0,0
01-Feb-03,0.007377049,0.040758294,0.034061135,0,0.055007052,0,0,0
01-Apr-03,0.007377049,0.050236967,0.037554585,0,0.055007052,0,0,0
01-Jul-03,0.007505928,0.039810427,0.03231441,0,0.05077574,0,0,0
01-Oct-03,0.007377049,0.040758294,0.033187773,0,0.05077574,0,0,0
01-Jan-04,0.007377049,0.041706161,0.031441048,0,0.05077574,0,0,0
01-Apr-04,0.007377049,0.043601896,0.030567686,0,0.05077574,0,0,0
01-Jul-04,0.007377049,0.046445498,0.033187773,0,0.052186178,0,0,0
