Date,Coal - Industrial Fines,Gas Oil,Light Fuel Oil,Medium Fuel Oil,Heavy Fuel Oil,Commercial Propane Cylinder,Bulk L.P.G. (0-3 tonnes),Bulk L.P.G. (3.1-40 tonnes),Price Directives Gas: Band I1: <1000 GJ per annum,"Price Directives Gas: Band I2: >=1000 <10,000 GJ per annum","Price Directives Gas: Band I3: >=10,000 <100,000 GJ per annum","Price Directives Gas: Band I4: >=100,000 <1,000,000 GJ per annum",Price Directives Electricity : Band IA: <20MWh per annum,Price Directives Electricity : Band IB: >=20 < 500 MWh per annum,Price Directives Electricity : Band IC: >=500 < 2000 MWh per annum,"Price Directives Electricity : Band ID: >=2000 < 20,000 MWh per annum","Price Directives Electricity : Band IE: >=20,000 < 70,000 MWh per annum","Price Directives Electricity : Band IF: >=70,000 < 150,000 MWh per annum",Wood - Fuel Chips,Wood - Pellets bulk delivery,Wood - Pellets bagged
01-Jan-93,0.007029075,0.029383886,0.021409456,0.020318021,0.019213974,0,0.042313117,0.038081805,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Apr-93,0.007029075,0.030331754,0.022301517,0.021201413,0.019213974,0,0.042313117,0.038081805,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Jul-93,0.007029075,0.030331754,0.022301517,0.021201413,0.019213974,0,0.042313117,0.038081805,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Oct-93,0.007029075,0.030331754,0.021409456,0.020318021,0.018340611,0,0.039492243,0.035260931,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Jan-94,0.007029075,0.030331754,0.021409456,0.020318021,0.019213974,0,0.039492243,0.033850494,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Apr-94,0.007029075,0.028436019,0.022301517,0.021201413,0.020087336,0,0.039492243,0.033850494,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Jul-94,0.007029075,0.028436019,0.022301517,0.021201413,0.020960699,0,0.039492243,0.033850494,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Oct-94,0.007029075,0.028436019,0.022301517,0.021201413,0.020960699,0,0.039492243,0.033850494,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Jan-95,0.007029075,0.027488152,0.023193577,0.022968198,0.022707424,0,0.039492243,0.033850494,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Apr-95,0.007029075,0.027488152,0.023193577,0.022968198,0.022707424,0,0.039492243,0.033850494,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Jul-95,0.007029075,0.029383886,0.024085638,0.022968198,0.022707424,0,0.039492243,0.033850494,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Oct-95,0.007029075,0.029383886,0.023193577,0.021201413,0.020960699,0,0.039492243,0.033850494,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Jan-96,0.007029075,0.031279621,0.023193577,0.021201413,0.020960699,0,0.039492243,0.033850494,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Apr-96,0.007029075,0.031279621,0.024085638,0.022968198,0.021834061,0,0.039492243,0.033850494,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Jun-97,0.007029075,0.030331754,0.024085638,0.022968198,0.021834061,0,0.045133992,0.038081805,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Oct-97,0.007029075,0.028436019,0.022301517,0.021201413,0.020087336,0,0.043723554,0.038081805,0,0,0,0,0,0,0,0,0,0,0,0,0
02-Apr-98,0.007029075,0.029383886,0.023193577,0.022084806,0.020960699,0,0.043723554,0.038081805,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Apr-99,0.007029075,0.028436019,0.023193577,0.022084806,0.020960699,0,0.042313117,0.032440056,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Oct-99,0.007029075,0.030331754,0.025869759,0.024734982,0.022707424,0,0.039492243,0.033850494,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Jun-00,0.007029075,0.039810427,0.032114184,0.030035336,0.027947598,0,0.04090268,0.035260931,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Nov-00,0.007029075,0.047393365,0.034790366,0.030918728,0.028820961,0,0.055007052,0.05077574,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Aug-01,0.007029075,0.04549763,0.035682426,0.032685512,0.030567686,0,0.059238364,0.053596615,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Feb-02,0.007029075,0.037914692,0.032114184,0.030035336,0.028820961,0,0.049365303,0.045133992,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Feb-03,0.007377049,0.040758294,0.035682426,0.034452297,0.034061135,0,0.059238364,0.055007052,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Apr-03,0.007377049,0.050236967,0.041926851,0.03975265,0.037554585,0,0.059238364,0.055007052,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Jul-03,0.007505928,0.039810427,0.035682426,0.033568905,0.03231441,0,0.057827927,0.05077574,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Oct-03,0.007377049,0.040758294,0.036574487,0.034452297,0.033187773,0,0.057827927,0.05077574,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Jan-04,0.007377049,0.041706161,0.034790366,0.032685512,0.031441048,0,0.057827927,0.05077574,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Apr-04,0.007377049,0.043601896,0.034790366,0.03180212,0.030567686,0,0.057827927,0.05077574,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Jul-04,0.007377049,0.046445498,0.037466548,0.035335689,0.033187773,0,0.060648801,0.052186178,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Oct-04,0.007377049,0.051184834,0.038358608,0.035335689,0.03231441,0,0.06629055,0.059238364,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Jan-05,0.007377049,0.0492891,0.038358608,0.034452297,0.031441048,0,0.06629055,0.059238364,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Apr-05,0.007377049,0.057819905,0.044603033,0.040636042,0.037554585,0.090974212,0.064880113,0.056417489,0,0,0,0,0,0,0,0,0,0,0.009375,0.041666667,0
01-Jul-05,0.007377049,0.062559242,0.049955397,0.045936396,0.04279476,0.090974212,0.064880113,0.056417489,0,0,0,0,0,0,0,0,0,0,0.009375,0.041666667,0
01-Oct-05,0.008839829,0.069194313,0.055307761,0.051236749,0.048034934,0.100286533,0.073342736,0.06629055,0,0,0,0,0,0,0,0,0,0,0.009375,0.041666667,0
01-Jan-06,0.008839829,0.063507109,0.052631579,0.048586572,0.04628821,0.10243553,0.076163611,0.067700987,0,0,0,0,0,0,0,0,0,0,0.03125,0.04375,0
01-Apr-06,0.008839829,0.067298578,0.0544157,0.050353357,0.047161572,0.10530086,0.078984485,0.071932299,0,0,0,0,0,0,0,0,0,0,0.03125,0.035416667,0.060416667
01-Jul-06,0.008839829,0.069194313,0.0544157,0.049469965,0.04628821,0.10530086,0.078984485,0.071932299,0,0,0,0,0,0,0,0,0,0,0.03125,0.035416667,0.05625
01-Oct-06,0.008839829,0.063507109,0.049955397,0.045936396,0.041921397,0.109598854,0.08180536,0.074753173,0,0,0,0,0,0,0,0,0,0,0.03125,0.039583333,0.05625
01-Jan-07,0.008839829,0.061611374,0.049063336,0.045053004,0.041921397,0.108882521,0.080394922,0.074753173,0,0,0,0,0,0,0,0,0,0,0.028125,0.039583333,0.070833333
01-Apr-07,0.008839829,0.062559242,0.050847458,0.046819788,0.043668122,0.107449857,0.077574048,0.070521862,0,0,0,0,0,0,0,0,0,0,0.03125,0.039583333,0.06875
01-Jul-07,0.008839829,0.067298578,0.055307761,0.052120141,0.048908297,0.108882521,0.078984485,0.071932299,0,0,0,0,0,0,0,0,0,0,0.03125,0.039583333,0.06875
01-Oct-07,0.008839829,0.071090047,0.058876004,0.054770318,0.051528384,0.111031519,0.08180536,0.074753173,0.051,0.044,0.039,0.027,0.175,0.157,0.139,0.12,0.12,0.112,0.03125,0.039583333,0.064583333
01-Jan-08,0.010181462,0.078672986,0.065120428,0.060954064,0.057641921,0.103151862,0.083215797,0.08180536,0.051,0.044,0.039,0.027,0.175,0.157,0.139,0.12,0.12,0.112,0.03125,0.039583333,0.066666667
01-Apr-08,0.010181462,0.081516588,0.066012489,0.060070671,0.056768559,0.123925501,0.090267983,0.084626234,0.051,0.044,0.045,0.032,0.168,0.158,0.149,0.132,0.133,0,0.03125,0.039583333,0.066666667
01-Jul-08,0.010181462,0.099526066,0.079393399,0.073321555,0.068122271,0.138252149,0.102961918,0.094499295,0.051,0.044,0.045,0.032,0.168,0.158,0.149,0.132,0.133,0,0.034375,0.0375,0.066666667
01-Oct-08,0.010181462,0.087203791,0.074933095,0.067137809,0.063755459,0.143982808,0.108603667,0.100141044,0.062,0.052,0.044,0.035,0.199,0.176,0.16,0.144,0.131,0.114,0.034375,0.035416667,0.066666667
01-Jan-09,0.010181462,0.054976303,0.045495094,0.042402827,0.040174672,0.131805158,0.097320169,0.090267983,0.062,0.052,0.044,0.035,0.199,0.176,0.16,0.144,0.131,0.114,0.034375,0.035416667,0.066666667
01-Apr-09,0.010181462,0.058767773,0.049063336,0.046819788,0.043668122,0.116045845,0.084626234,0.076163611,0.059,0.043,0.037,0.034,0.201,0.17,0.136,0.121,0.105,0.098,0.03125,0.0375,0.060416667
01-Jul-09,0.008631044,0.063507109,0.057091882,0.054770318,0.052401747,0.116045845,0.084626234,0.076163611,0.059,0.043,0.037,0.034,0.201,0.17,0.136,0.121,0.105,0.098,0.034375,0.0375,0.060416667
01-Oct-09,0.008045933,0.062559242,0.057091882,0.05565371,0.054148472,0.116045845,0.084626234,0.076163611,0.052,0.039,0.029,0.025,0.192,0.159,0.133,0.109,0.098,0.089,0.034375,0.035416667,0.060416667
01-Jan-10,0.008045933,0.069194313,0.062444246,0.059187279,0.057641921,0.116045845,0.083215797,0.074753173,0.052,0.039,0.029,0.025,0.192,0.159,0.133,0.109,0.098,0.089,0.034375,0.035416667,0.060416667
01-Apr-10,0.008045933,0.073933649,0.065120428,0.062720848,0.060262009,0.126074499,0.095909732,0.087447109,0.042,0.034,0.031,0.025,0.178,0.155,0.126,0.093,0.082,0.064,0.034375,0.039583333,0.058333333
01-Jul-10,0.008045933,0.081516588,0.071364853,0.068021201,0.065502183,0.130372493,0.098730606,0.09167842,0.042,0.034,0.031,0.025,0.178,0.155,0.126,0.093,0.082,0.064,0.034375,0.039583333,0.054166667
01-Oct-10,0.008045933,0.08056872,0.070472792,0.067137809,0.064628821,0.133237822,0.102961918,0.094499295,0.047,0.043,0.035,0.027,0.195,0.153,0.128,0.097,0.086,0,0.034375,0.039583333,0.05625
01-Jan-11,0.008045933,0.08436019,0.072256913,0.068904594,0.066375546,0.139684814,0.112834979,0.102961918,0.047,0.043,0.035,0.027,0.195,0.153,0.128,0.097,0.086,0,0.034375,0.039583333,0.05625
01-Apr-11,0.008045933,0.089099526,0.086529884,0.083038869,0.079475983,0.139684814,0.112834979,0.102961918,0.043,0.042,0.042,0.03,0.209,0.148,0.128,0.097,0.085,0.078,0.034375,0.041666667,0.054166667
