Date,"Peat Briquettes, Baled","Standard Coal, bulk",Grade A Anthracite,Gas Oil (schedule),Kerosene (schedule),Bulk L.P.G.,Bottled Butane,Bottled Propane 34kg,Price Directives Gas Band D2:>=20 <200 GJ per annum,Price Directives Electricity Band DC:>=2500 <5000 kWh per annum,Wood Pellets bagged,Wood - Briquettes
01-Oct-90,0.024029851,0,0.029476563,0.034123223,0.041257367,0.057827927,0.083429672,0.080552017,0,0,0,0
01-Oct-91,0.025522388,0,0.031743304,0.031279621,0.033398821,0.053596615,0.083558125,0.07492569,0,0,0,0
01-Oct-92,0.025970149,0,0.031743304,0.027488152,0.030451866,0.049365303,0.08805395,0.069193206,0,0,0,0
01-Oct-93,0.026567164,0,0.03259375,0.030331754,0.032416503,0.049365303,0.08805395,0.069193206,0,0,0,0
01-Jan-94,0.026567164,0,0.03259375,0.030331754,0.032416503,0.049365303,0.08805395,0.069193206,0,0,0,0
01-Apr-94,0.026567164,0,0.03259375,0.028436019,0.031434185,0.049365303,0.08805395,0.069193206,0,0,0,0
01-Jul-94,0.026567164,0,0.03259375,0.028436019,0.031434185,0.049365303,0.08805395,0.069193206,0,0,0,0
01-Oct-94,0.027164179,0,0.03259375,0.028436019,0.031434185,0.049365303,0.08805395,0.069193206,0,0,0,0
01-Jan-95,0.027164179,0,0.03259375,0.027488152,0.030451866,0.049365303,0.08805395,0.069193206,0,0,0,0
01-Apr-95,0.027164179,0,0.03259375,0.027488152,0.030451866,0.049365303,0.08805395,0.069193206,0,0,0,0
01-Jul-95,0.027164179,0,0.03259375,0.029383886,0.031434185,0.049365303,0.089723828,0.071953291,0,0,0,0
01-Oct-95,0.027910448,0,0.03259375,0.029383886,0.031434185,0.049365303,0.089723828,0.071953291,0,0,0,0
01-Jan-96,0.027164179,0,0.03259375,0.032227488,0.033398821,0.049365303,0.089723828,0.071953291,0,0,0,0
01-Apr-96,0.027164179,0,0.03259375,0.031279621,0.033398821,0.049365303,0.089723828,0.071953291,0,0,0,0
01-Mar-97,0.028358209,0,0.03259375,0.030331754,0.032416503,0.052186178,0.097880539,0.083566879,0,0,0,0
01-Oct-97,0.028358209,0,0.028626116,0.026540284,0.029469548,0.052186178,0.097880539,0.077770701,0,0,0,0
02-Apr-98,0.028358209,0,0.02777567,0.026540284,0.029469548,0.05077574,0.097880539,0.080212314,0,0,0,0
01-Apr-99,0.028358209,0.023331646,0.02777567,0.025592417,0.02848723,0.047954866,0.097880539,0.080212314,0,0,0,0
01-Oct-99,0.031044776,0.023331646,0.030325893,0.030331754,0.033398821,0.052186178,0.106037251,0.087749469,0,0,0,0
01-Jun-00,0.031044776,0.023331646,0.030325893,0.03507109,0.039292731,0.055007052,0.106037251,0.090573248,0,0,0,0
01-Nov-00,0.031044776,0.023331646,0.030325893,0.048341232,0.050098232,0.064880113,0.114193963,0.097940552,0,0,0,0
01-Aug-01,0.034179104,0.02783038,0.033621652,0.04549763,0.048133595,0.069111425,0.114193963,0.097940552,0,0,0,0
01-Feb-02,0.035373134,0.028810127,0.034040179,0.037914692,0.040275049,0.053596615,0.102055234,0.087388535,0,0,0,0
01-Feb-03,0.03880597,0.030255696,0.03649442,0.036018957,0.037328094,0.063469676,0.119460501,0.101273885,0,0,0,0
01-Apr-03,0.03880597,0.030255696,0.03649442,0.046445498,0.048133595,0.067700987,0.120488118,0.104458599,0,0,0,0
01-Jul-03,0.041791045,0.0299,0.036532366,0.034123223,0.035363458,0.063469676,0.120488118,0.102462845,0,0,0,0
01-Oct-03,0.041791045,0.0299,0.036532366,0.03507109,0.037328094,0.063469676,0.120423892,0.102420382,0,0,0,0
01-Jan-04,0.041791045,0.0299,0.036532366,0.036018957,0.038310413,0.063469676,0.120423892,0.102462845,0,0,0,0
